duration,opt,NumberOfEvaluations,GreedySolution,Run,Solver,AbsoluteImprovement,RelativeImprovement,Szenario
698,572281.606301253,576000,247854.539273618,0,GA,42737.24742977103,0.1724287461307756,MEP-Big
0,247854.539273618,0,247854.539273618,0,Greedy,0,0,MEP-Big
1,258922.984168494,0,247854.539273618,0,Insertion,11068.444894876011,0.044657019102067146,MEP-Big
698,572281.606301253,576000,247854.539273618,0,GA,42737.24742977103,0.1724287461307756,MEP-Big
0,247854.539273618,0,247854.539273618,0,Greedy,0,0,MEP-Big
1,258922.984168494,0,247854.539273618,0,Insertion,11068.444894876011,0.044657019102067146,MEP-Big
271,579889.862098804,110000,247854.539273618,0,SA,48581.18743982,0.19600684975226135,MEP-Big
8,250831.861053692,0,247854.539273618,0,Savings,2977.3217800740094,0.0120123754392378,MEP-Big
458,567767.889154508,319000,247854.539273618,1,GA,40570.41277230202,0.16368638190448664,MEP-Big
273,577631.306169705,110000,247854.539273618,1,SA,41349.094697197,0.16682807108708966,MEP-Big
514,567634.7439303871,324000,247854.539273618,2,GA,36318.36949297003,0.14653098385612584,MEP-Big
268,585873.756385426,110000,247854.539273618,2,SA,47580.03109031802,0.1919675598024543,MEP-Big
942,573983.118336223,1022000,247854.539273618,3,GA,41628.740667026985,0.16795633757213987,MEP-Big
264,580408.260984198,110000,247854.539273618,3,SA,43026.86829225902,0.17359725756226596,MEP-Big
603,566491.801167032,434000,247854.539273618,4,GA,37392.23827824401,0.1508636411817538,MEP-Big
263,590067.088679055,110000,247854.539273618,4,SA,51516.66252534199,0.20785038949183976,MEP-Big
388,559035.145898666,200000,247854.539273618,5,GA,34097.82201123799,0.137571908552362,MEP-Big
261,587532.3422294171,110000,247854.539273618,5,SA,47953.135901253,0.19347289761885433,MEP-Big
620,571977.684589342,581000,247854.539273618,6,GA,42250.77715785502,0.17046602124648783,MEP-Big
268,575920.814561793,110000,247854.539273618,6,SA,40941.62813298803,0.16518409649859464,MEP-Big
830,583180.4933812411,802000,247854.539273618,7,GA,51719.55180600603,0.20866897155718597,MEP-Big
260,580165.416406905,110000,247854.539273618,7,SA,43585.33827748001,0.17585047425483766,MEP-Big
678,565936.83887349,631000,247854.539273618,8,GA,39521.197315625,0.1594531915027618,MEP-Big
261,590697.599355483,110000,247854.539273618,8,SA,50848.83944669299,0.2051559741278679,MEP-Big
464,565509.555792925,334000,247854.539273618,9,GA,40544.211654530984,0.16358067023243972,MEP-Big
272,572565.2664477921,110000,247854.539273618,9,SA,44334.237458610005,0.17887200124935942,MEP-Big
382,559609.250556348,200000,247854.539273618,10,GA,32725.34040742999,0.13203446062895377,MEP-Big
259,584203.47161029,110000,247854.539273618,10,SA,49310.812816288,0.19895061418202042,MEP-Big
941,577336.507063457,1022000,247854.539273618,11,GA,41962.221575061005,0.16930180781856485,MEP-Big
267,584214.248265123,110000,247854.539273618,11,SA,51417.942442282016,0.20745209102472556,MEP-Big
832,573485.571078067,846000,247854.539273618,12,GA,41961.02291522999,0.16929697167622695,MEP-Big
258,587346.1133269819,110000,247854.539273618,12,SA,49545.27268087599,0.19989657169917996,MEP-Big
552,568862.1328906671,394000,247854.539273618,13,GA,39244.78803470501,0.15833798384213124,MEP-Big
254,570169.382961042,110000,247854.539273618,13,SA,38151.32196156602,0.15392625881847993,MEP-Big
264,560627.3527203139,100000,247854.539273618,14,GA,33521.90128908798,0.1352482846887933,MEP-Big
266,569944.9736955471,110000,247854.539273618,14,SA,41630.42973597601,0.16796315233112705,MEP-Big
370,564227.477852592,180000,247854.539273618,15,GA,36626.93659518703,0.1477759362508704,MEP-Big
259,585049.213851235,110000,247854.539273618,15,SA,46508.40470463698,0.18764394971719367,MEP-Big
446,564788.1346924971,256000,247854.539273618,16,GA,34921.91001160603,0.14089679420014226,MEP-Big
243,583382.514689981,110000,247854.539273618,16,SA,43958.06557915799,0.1773542889631352,MEP-Big
337,567849.640944299,158000,247854.539273618,17,GA,40040.10572063198,0.161546792073999,MEP-Big
259,585258.009520286,110000,247854.539273618,17,SA,46062.24537085302,0.18584386433206615,MEP-Big
663,564281.120512057,650000,247854.539273618,18,GA,38162.811928404,0.15397261652034672,MEP-Big
262,581038.203896382,110000,247854.539273618,18,SA,44117.873937456025,0.17799905568302818,MEP-Big
277,563063.624158291,112000,247854.539273618,19,GA,34241.78407225202,0.1381527414127806,MEP-Big
257,585153.657953098,110000,247854.539273618,19,SA,46300.80024149301,0.18680634366102705,MEP-Big
840,578007.5567862301,869000,247854.539273618,20,GA,41684.48571379503,0.16818124790435093,MEP-Big
269,562452.2651390301,110000,247854.539273618,20,SA,41377.41332422002,0.16694232611387275,MEP-Big
605,566058.281420719,464000,247854.539273618,21,GA,35302.680896291015,0.14243306174561832,MEP-Big
263,599966.4642880689,110000,247854.539273618,21,SA,52221.588851393,0.21069450252731983,MEP-Big
603,570635.571909455,481000,247854.539273618,22,GA,40205.89393854901,0.1622156852820996,MEP-Big
252,577816.947146677,110000,247854.539273618,22,SA,43730.165640633,0.17643479828447792,MEP-Big
663,570426.9610223561,539000,247854.539273618,23,GA,39606.18157612803,0.15979607108347105,MEP-Big
254,579668.767689637,110000,247854.539273618,23,SA,42045.60750307402,0.16963823872782877,MEP-Big
857,575094.28670655,884000,247854.539273618,24,GA,40121.261416249006,0.16187422483296668,MEP-Big
261,585154.920228149,110000,247854.539273618,24,SA,47813.35092867902,0.1929089177418521,MEP-Big
349,560927.33345419,187000,247854.539273618,25,GA,36400.92903574501,0.14686408061125059,MEP-Big
254,567115.724677085,110000,247854.539273618,25,SA,37033.045128987025,0.14941443169658697,MEP-Big
1053,580512.93987014,1283000,247854.539273618,26,GA,44013.42191608003,0.17757763099707283,MEP-Big
258,580544.869744773,110000,247854.539273618,26,SA,46393.76427659401,0.1871814186359436,MEP-Big
457,563288.503681135,274000,247854.539273618,27,GA,34467.13832277103,0.1390619611962046,MEP-Big
270,576331.575990063,110000,247854.539273618,27,SA,45067.97283548702,0.18183234798752027,MEP-Big
716,571503.5853125791,625000,247854.539273618,28,GA,38139.51948508501,0.15387864025754655,MEP-Big
251,576392.4181160701,110000,247854.539273618,28,SA,44132.14021045403,0.17805661473778595,MEP-Big
460,567646.0845879801,306000,247854.539273618,29,GA,39381.778544042,0.15889068910925472,MEP-Big
258,583134.786984946,110000,247854.539273618,29,SA,48981.74439260599,0.19762294665312866,MEP-Big
460,562578.773418552,271000,247854.539273618,30,GA,33556.064177793014,0.13538611911702345,MEP-Big
253,584753.818136156,110000,247854.539273618,30,SA,47365.60774629298,0.19110244212232852,MEP-Big
712,568570.5714421549,602000,247854.539273618,31,GA,38911.664749016025,0.15699395646758624,MEP-Big
256,581867.922260856,110000,247854.539273618,31,SA,45515.08483338301,0.1836362770146276,MEP-Big
399,561362.5036834311,212000,247854.539273618,32,GA,34333.848065255996,0.13852418505578906,MEP-Big
252,585796.059131887,110000,247854.539273618,32,SA,49816.29907579001,0.20099006143597603,MEP-Big
307,557481.515379238,134000,247854.539273618,33,GA,31361.11939219103,0.12653034107868427,MEP-Big
256,578820.9867797659,110000,247854.539273618,33,SA,41914.927203637984,0.16911099278825867,MEP-Big
864,579287.6623363439,1108000,247854.539273618,34,GA,45308.51409255198,0.1828028416398452,MEP-Big
267,581081.330189143,110000,247854.539273618,34,SA,44978.65146162399,0.1814719697829298,MEP-Big
322,558976.3720721849,144000,247854.539273618,35,GA,32236.366231581982,0.13006163343248187,MEP-Big
262,575703.926565259,110000,247854.539273618,35,SA,40438.382451211015,0.1631536891344533,MEP-Big
445,563152.739168813,266000,247854.539273618,36,GA,35547.25019968403,0.14341980705240095,MEP-Big
279,592352.113749909,110000,247854.539273618,36,SA,49920.24707429603,0.20140945257890466,MEP-Big
439,563943.656003008,266000,247854.539273618,37,GA,34736.83839553301,0.14015009972113288,MEP-Big
261,576636.888738351,110000,247854.539273618,37,SA,46836.74295932203,0.18896867128835113,MEP-Big
508,563394.529346684,378000,247854.539273618,38,GA,37228.952584920014,0.15020484472072254,MEP-Big
262,559817.667865241,110000,247854.539273618,38,SA,40536.24957123303,0.1635485462159852,MEP-Big
652,569561.288757197,585000,247854.539273618,39,GA,41467.594524588,0.1673061733955577,MEP-Big
255,589956.137785634,110000,247854.539273618,39,SA,54020.619288267015,0.2179529148289319,MEP-Big
709,572712.5104044799,629000,247854.539273618,40,GA,39269.394831493,0.15843726302765718,MEP-Big
261,579940.004494842,110000,247854.539273618,40,SA,42653.30248230402,0.17209005978791891,MEP-Big
872,578592.743380002,918000,247854.539273618,41,GA,44082.84728643103,0.17785773629816784,MEP-Big
250,568504.3700655419,110000,247854.539273618,41,SA,40509.762943877984,0.16344168261997172,MEP-Big
691,569014.806134157,616000,247854.539273618,42,GA,41227.32702085303,0.1663367842351287,MEP-Big
268,582968.006592894,110000,247854.539273618,42,SA,47420.19628724901,0.19132268638784009,MEP-Big
562,563718.2636516839,379000,247854.539273618,43,GA,34691.11099296398,0.1399656068217773,MEP-Big
277,580828.836685692,110000,247854.539273618,43,SA,44844.56756057803,0.1809309915888692,MEP-Big
479,564049.0075745641,293000,247854.539273618,44,GA,34798.752038729,0.14039989802370761,MEP-Big
254,577803.06334807,110000,247854.539273618,44,SA,51733.18933039703,0.2087239938474009,MEP-Big
461,559747.4133286411,271000,247854.539273618,45,GA,32631.584172346018,0.13165618942456614,MEP-Big
281,592376.929956385,110000,247854.539273618,45,SA,49268.087996835035,0.19877823557810953,MEP-Big
287,285351.607179705,209000,247854.539273618,46,GA,37497.067906087,0.15128658936801745,MEP-Big
259,572310.573229274,110000,247854.539273618,46,SA,38834.696687135,0.15668341923834447,MEP-Big
332,288425.135392626,275000,247854.539273618,47,GA,40570.596119008,0.1636871216396011,MEP-Big
268,582168.869369791,110000,247854.539273618,47,SA,44042.788013222016,0.17769611217247533,MEP-Big
303,284419.710588937,230000,247854.539273618,48,GA,36565.17131531899,0.1475267365386156,MEP-Big
264,590033.514766552,110000,247854.539273618,48,SA,51136.157381823024,0.2063151941121864,MEP-Big
165,279375.187820777,77000,247854.539273618,49,GA,31520.648547159013,0.1271739813179775,MEP-Big
262,571549.117707167,110000,247854.539273618,49,SA,39131.842745981034,0.1578822920115318,MEP-Big
107,277443.437037513,35000,247854.539273618,50,GA,29588.897763895016,0.11938009225334573,MEP-Big
265,573875.496430947,110000,247854.539273618,50,SA,44977.448187463015,0.18146711502350316,MEP-Big
360,282138.100915875,324000,247854.539273618,51,GA,34283.561642257,0.13832129822084802,MEP-Big
264,587733.717394739,110000,247854.539273618,51,SA,46936.66768456003,0.18937183003432706,MEP-Big
138,282541.900209248,54000,247854.539273618,52,GA,34687.360935630015,0.1399504767485297,MEP-Big
263,578018.00787983,110000,247854.539273618,52,SA,44279.817822571,0.17865243845176657,MEP-Big
121,276821.544999833,44000,247854.539273618,53,GA,28967.005726214993,0.11687099139320982,MEP-Big
266,578934.905317759,110000,247854.539273618,53,SA,42736.34401732401,0.17242510120077081,MEP-Big
389,286384.602471208,377000,247854.539273618,54,GA,38530.06319759003,0.15545433749371412,MEP-Big
258,572993.6547515991,110000,247854.539273618,54,SA,41306.97689935201,0.1666581415874387,MEP-Big
361,284681.03061668,324000,247854.539273618,55,GA,36826.49134306199,0.14858106472848392,MEP-Big
258,564292.8813851541,110000,247854.539273618,55,SA,37779.765179799026,0.1524271667185091,MEP-Big
469,290864.437200839,527000,247854.539273618,56,GA,43009.897927221,0.17352878851147607,MEP-Big
256,578685.985718344,110000,247854.539273618,56,SA,41751.01121867701,0.16844965333713802,MEP-Big
168,280575.116778538,77000,247854.539273618,57,GA,32720.577504919987,0.13201524410573026,MEP-Big
259,594123.44850517,110000,247854.539273618,57,SA,49453.32537355399,0.19952559883908438,MEP-Big
124,278185.9077918,44000,247854.539273618,58,GA,30331.36851818199,0.12237568295934173,MEP-Big
263,566708.265675902,110000,247854.539273618,58,SA,39343.05742005,0.15873446391319626,MEP-Big
216,280926.438324716,119000,247854.539273618,59,GA,33071.89905109801,0.13343269462815213,MEP-Big
270,582089.769090235,110000,247854.539273618,59,SA,44968.01709212203,0.1814290640950488,MEP-Big
269,282587.395539,170000,247854.539273618,60,GA,34732.856265382,0.14013403332120863,MEP-Big
262,588127.423342618,110000,247854.539273618,60,SA,47430.73064872503,0.19136518858088805,MEP-Big
229,289627.175674235,135000,247854.539273618,61,GA,41772.63640061699,0.16853690282630757,MEP-Big
254,580426.794668152,110000,247854.539273618,61,SA,47002.91071727403,0.18963909579798077,MEP-Big
284,283808.823991849,189000,247854.539273618,62,GA,35954.284718231036,0.14506203849887717,MEP-Big
243,576956.683753661,110000,247854.539273618,62,SA,41623.695988487016,0.16793598418843847,MEP-Big
465,288519.218444416,495000,247854.539273618,63,GA,40664.679170798016,0.16406671142668244,MEP-Big
253,576769.750442272,110000,247854.539273618,63,SA,44325.602733708016,0.1788371633766003,MEP-Big
123,275201.37208492,44000,247854.539273618,64,GA,27346.83281130201,0.1103342020341721,MEP-Big
264,594594.068687028,110000,247854.539273618,64,SA,51572.58515999399,0.20807601632448075,MEP-Big
279,280821.769780345,189000,247854.539273618,65,GA,32967.230506727035,0.13301039635321343,MEP-Big
258,587767.880627945,110000,247854.539273618,65,SA,47644.93421320498,0.1922294195330736,MEP-Big
188,281861.493399287,90000,247854.539273618,66,GA,34006.954125669,0.1372052907537318,MEP-Big
252,578191.171859549,110000,247854.539273618,66,SA,42799.400293212995,0.17267950959721892,MEP-Big
313,290089.746958758,230000,247854.539273618,67,GA,42235.20768513999,0.17040320427020547,MEP-Big
264,571204.519734277,110000,247854.539273618,67,SA,39103.65720247003,0.15776857392674865,MEP-Big
268,579225.611620406,110000,247854.539273618,68,SA,46142.57783660703,0.18616797566764803,MEP-Big
251,580231.553951238,110000,247854.539273618,69,SA,44282.05987252502,0.17866148428147213,MEP-Big
266,575604.876145767,110000,247854.539273618,70,SA,40714.91597535301,0.164269398069833,MEP-Big
258,583310.824430248,110000,247854.539273618,71,SA,46492.980801178,0.1875817200582002,MEP-Big
258,588244.734165289,110000,247854.539273618,72,SA,50413.139829158,0.20339808977032542,MEP-Big
267,581040.6419513191,110000,247854.539273618,73,SA,43811.52137597403,0.1767630381286198,MEP-Big
257,580295.833593545,110000,247854.539273618,74,SA,43903.69927649401,0.1771349413456846,MEP-Big
260,575065.015604021,110000,247854.539273618,75,SA,43802.82247553501,0.17672794133166578,MEP-Big
262,578243.629967824,110000,247854.539273618,76,SA,47000.039935265,0.18962751327051347,MEP-Big
258,571500.580402542,110000,247854.539273618,77,SA,41735.95328274803,0.1683889002197123,MEP-Big
253,564706.702210802,110000,247854.539273618,78,SA,36521.974523209996,0.14735245370225683,MEP-Big
268,583522.7908223739,110000,247854.539273618,79,SA,48727.912828044995,0.19659883160038485,MEP-Big
253,579560.969078104,110000,247854.539273618,80,SA,42840.247806642,0.17284431397622574,MEP-Big
269,593558.136075201,110000,247854.539273618,81,SA,51718.61098449401,0.20866517569565052,MEP-Big
252,581885.391088604,110000,247854.539273618,82,SA,45177.05530729503,0.1822724548022984,MEP-Big
264,591069.917696612,110000,247854.539273618,83,SA,52504.487533319014,0.21183589248432888,MEP-Big
266,580104.883949498,110000,247854.539273618,84,SA,45168.44844495799,0.18223772934452684,MEP-Big
262,569801.13899034,110000,247854.539273618,85,SA,38827.63962241702,0.1566549466320381,MEP-Big
256,572643.911681631,110000,247854.539273618,86,SA,42003.23061437401,0.16946726389386285,MEP-Big
273,576933.201541137,110000,247854.539273618,87,SA,41166.53583068002,0.16609151460903604,MEP-Big
257,578562.420782969,110000,247854.539273618,88,SA,44969.440246354,0.181434805988,MEP-Big
243,578582.1382197039,110000,247854.539273618,89,SA,42961.157873182994,0.17333214069465236,MEP-Big
254,575150.512359038,110000,247854.539273618,90,SA,40419.09106372899,0.16307585562961388,MEP-Big
246,572166.13282562,110000,247854.539273618,91,SA,40369.131774851034,0.16287428865801687,MEP-Big
260,565717.0692310091,110000,247854.539273618,92,SA,38219.942523695034,0.15420311702059364,MEP-Big
247,584262.400988087,110000,247854.539273618,93,SA,48504.364515995985,0.19569689810058227,MEP-Big
253,573993.9380361859,110000,247854.539273618,94,SA,47907.227104017016,0.1932876728601288,MEP-Big
256,568242.231149581,110000,247854.539273618,95,SA,42753.63672777699,0.17249487079427378,MEP-Big
273,576510.627779329,110000,247854.539273618,96,SA,47220.21469688401,0.19051583576105277,MEP-Big
270,588385.275988328,110000,247854.539273618,97,SA,49256.72374221598,0.19873238507784288,MEP-Big
258,581097.911212325,110000,247854.539273618,98,SA,49953.79517538901,0.2015448065699645,MEP-Big
268,589302.816813906,110000,247854.539273618,99,SA,48242.14724341003,0.1946389498646757,MEP-Big
